iter	Passed	Remaining
0	173	173514
1	175	87333
2	176	58550
3	177	44116
4	178	35453
5	179	29667
6	180	25573
7	181	22482
8	182	20077
9	183	18143
10	184	16548
11	184	15228
12	186	14158
13	188	13265
14	190	12494
15	191	11770
16	192	11139
17	193	10564
18	194	10054
19	195	9592
20	196	9165
21	197	8786
22	198	8438
23	199	8121
24	200	7834
25	201	7565
26	203	7328
27	204	7095
28	205	6876
29	206	6672
30	207	6487
31	208	6305
32	209	6141
33	210	5982
34	211	5833
35	212	5689
36	213	5554
37	214	5422
38	215	5299
39	215	5183
40	217	5086
41	218	4983
42	219	4886
43	220	4792
44	221	4703
45	222	4614
46	223	4529
47	224	4449
48	225	4373
49	226	4298
50	226	4222
51	227	4151
52	228	4081
53	229	4014
54	230	3954
55	231	3905
56	232	3850
57	233	3795
58	234	3741
59	235	3690
60	236	3639
61	237	3588
62	238	3542
63	239	3495
64	240	3453
65	240	3408
66	241	3363
67	242	3320
68	242	3277
69	243	3236
70	244	3200
71	245	3168
72	247	3137
73	248	3109
74	249	3078
75	250	3046
76	251	3014
77	252	2980
78	252	2948
79	253	2916
80	254	2886
81	255	2855
82	255	2821
83	256	2792
84	256	2764
85	257	2736
86	258	2708
87	259	2684
88	259	2660
89	261	2642
90	262	2618
91	263	2595
92	263	2572
93	264	2550
94	265	2530
95	266	2507
96	267	2485
97	267	2463
98	268	2442
99	269	2421
100	269	2401
101	270	2381
102	271	2361
103	271	2341
104	272	2322
105	273	2303
106	273	2286
107	274	2270
108	276	2256
109	276	2241
110	277	2224
111	278	2208
112	279	2194
113	280	2179
114	281	2163
115	281	2147
116	282	2130
117	283	2115
118	283	2100
119	284	2085
120	284	2070
121	285	2055
122	286	2041
123	286	2026
124	287	2013
125	288	2000
126	289	1987
127	290	1977
128	291	1968
129	292	1956
130	293	1944
131	294	1934
132	294	1922
133	295	1910
134	296	1898
135	296	1886
136	297	1874
137	298	1863
138	299	1852
139	299	1841
140	300	1830
141	300	1818
142	301	1807
143	302	1796
144	302	1785
145	303	1776
146	304	1768
147	305	1760
148	306	1751
149	307	1742
150	308	1733
151	309	1725
152	310	1716
153	310	1707
154	311	1698
155	312	1689
156	312	1680
157	313	1670
158	314	1662
159	314	1653
160	315	1643
161	315	1634
162	316	1626
163	317	1617
164	317	1609
165	319	1602
166	320	1596
167	321	1590
168	322	1584
169	323	1578
170	324	1570
171	324	1563
172	325	1556
173	326	1549
174	327	1542
175	327	1534
176	328	1527
177	329	1519
178	329	1512
179	330	1505
180	331	1498
181	331	1490
182	332	1483
183	333	1478
184	334	1472
185	335	1467
186	336	1462
187	337	1456
188	338	1450
189	338	1445
190	339	1439
191	340	1434
192	341	1429
193	342	1423
194	343	1417
195	344	1412
196	345	1407
197	346	1401
198	347	1396
199	348	1392
200	349	1387
201	350	1385
202	351	1380
203	352	1374
204	353	1369
205	354	1364
206	354	1359
207	355	1353
208	356	1348
209	356	1342
210	357	1336
211	358	1332
212	359	1326
213	359	1321
214	360	1315
215	361	1310
216	361	1305
217	362	1299
218	363	1295
219	364	1291
220	365	1288
221	366	1284
222	367	1279
223	368	1275
224	369	1271
225	369	1266
226	370	1261
227	371	1256
228	371	1251
229	372	1247
230	373	1242
231	373	1237
232	374	1232
233	375	1228
234	375	1223
235	376	1218
236	377	1214
237	378	1210
238	379	1207
239	380	1203
240	381	1200
241	381	1196
242	382	1192
243	383	1188
244	384	1185
245	385	1182
246	386	1178
247	387	1175
248	388	1172
249	389	1168
250	390	1165
251	391	1161
252	392	1158
253	393	1155
254	395	1154
255	395	1150
256	396	1147
257	397	1144
258	398	1140
259	399	1137
260	400	1134
261	401	1130
262	402	1127
263	402	1123
264	403	1119
265	404	1116
266	405	1113
267	406	1110
268	407	1107
269	409	1106
270	410	1103
271	410	1100
272	411	1096
273	412	1093
274	413	1090
275	414	1087
276	415	1084
277	416	1081
278	417	1077
279	417	1074
280	418	1070
281	419	1066
282	419	1063
283	420	1060
284	421	1057
285	422	1054
286	423	1051
287	424	1049
288	425	1046
289	426	1043
290	427	1040
291	427	1037
292	428	1034
293	429	1031
294	430	1028
295	431	1025
296	432	1022
297	432	1019
298	433	1016
299	434	1013
300	435	1010
301	435	1007
302	436	1004
303	437	1001
304	438	999
305	439	997
306	440	994
307	441	991
308	442	988
309	442	985
310	443	983
311	444	980
312	445	977
313	446	975
314	447	972
315	447	969
316	448	966
317	449	964
318	450	961
319	450	958
320	451	955
321	452	952
322	453	951
323	454	949
324	455	946
325	456	943
326	457	941
327	458	938
328	458	936
