iter	Passed	Remaining
0	0	72
1	1	68
2	2	66
3	2	61
4	3	60
5	3	61
6	4	63
7	5	63
8	6	62
9	6	61
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	55
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	51
22	15	50
23	15	50
24	16	49
25	17	49
26	18	48
27	18	48
28	19	47
29	20	47
30	21	47
31	22	46
32	22	46
33	23	45
34	24	45
35	25	45
36	26	44
37	27	44
38	28	44
39	29	43
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	34	40
46	35	39
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	73	0
