iter	Passed	Remaining
0	159	158907
1	160	79853
2	160	53426
3	161	40195
4	162	32298
5	163	27076
6	164	23305
7	164	20458
8	165	18235
9	166	16462
10	166	15011
11	167	13804
12	168	12780
13	169	11904
14	169	11143
15	170	10476
16	171	9900
17	172	9426
18	173	8979
19	174	8557
20	175	8174
21	176	7830
22	176	7509
23	177	7217
24	178	6948
25	179	6715
26	180	6487
27	180	6271
28	181	6069
29	181	5883
30	182	5709
31	183	5543
32	183	5390
33	184	5249
34	185	5121
35	187	5017
36	189	4919
37	189	4804
38	190	4692
39	191	4586
40	191	4487
41	192	4394
42	193	4304
43	194	4219
44	194	4136
45	195	4058
46	196	3983
47	197	3910
48	197	3839
49	198	3772
50	199	3712
51	200	3656
52	201	3605
53	202	3549
54	203	3495
55	204	3440
56	204	3390
57	205	3340
58	206	3294
59	207	3248
60	208	3202
61	208	3157
62	209	3116
63	210	3076
64	211	3036
65	211	2997
66	212	2960
67	213	2928
68	214	2900
69	216	2870
70	216	2834
71	217	2801
72	217	2767
73	218	2735
74	219	2703
75	219	2672
76	220	2642
77	220	2612
78	221	2583
79	222	2555
80	222	2528
81	223	2501
82	223	2472
83	224	2448
84	225	2426
85	225	2401
86	226	2378
87	227	2356
88	228	2338
89	229	2322
90	230	2303
91	231	2283
92	232	2263
93	232	2244
94	233	2226
95	234	2207
96	235	2187
97	235	2168
98	236	2149
99	236	2130
100	237	2112
101	237	2094
102	238	2076
103	239	2059
104	239	2042
105	240	2025
106	240	2008
107	241	1992
108	241	1976
109	242	1960
110	243	1946
111	243	1933
112	244	1922
113	245	1910
114	246	1897
115	247	1884
116	247	1870
117	248	1858
118	249	1844
119	249	1831
120	250	1818
121	250	1804
122	251	1792
123	251	1780
124	252	1767
125	253	1755
126	253	1742
127	254	1730
128	255	1722
129	255	1711
130	256	1699
131	256	1689
132	257	1678
133	258	1668
134	259	1659
135	259	1651
136	260	1643
137	261	1633
138	262	1624
139	262	1615
140	263	1605
141	263	1594
142	264	1585
143	265	1575
144	265	1566
145	266	1557
146	266	1548
147	267	1539
148	268	1530
149	268	1522
150	269	1513
151	269	1504
152	270	1496
153	270	1487
154	271	1479
155	272	1471
156	272	1464
157	273	1458
158	274	1452
159	275	1445
160	275	1437
161	276	1430
162	277	1423
163	277	1416
164	278	1409
165	279	1401
166	279	1394
167	280	1387
168	280	1381
169	281	1374
170	282	1367
171	282	1360
172	283	1353
173	283	1346
174	284	1340
175	284	1333
176	285	1326
177	285	1320
178	286	1314
179	287	1308
180	287	1302
181	288	1298
182	289	1292
183	290	1287
184	291	1282
185	291	1276
186	292	1271
187	292	1265
188	293	1260
189	294	1254
190	294	1249
191	295	1243
192	296	1238
193	296	1233
194	297	1228
195	298	1223
196	298	1218
197	299	1213
198	300	1207
199	300	1202
200	301	1197
201	302	1193
202	302	1189
203	303	1185
204	304	1180
205	305	1177
206	306	1172
207	306	1168
208	307	1163
209	308	1160
210	309	1156
211	309	1152
212	310	1148
213	311	1144
214	312	1139
215	312	1135
216	313	1131
217	314	1127
218	314	1123
219	315	1119
220	316	1115
221	317	1112
222	318	1110
223	319	1106
224	320	1102
225	320	1099
226	321	1095
227	322	1092
228	323	1088
229	323	1084
230	324	1080
231	325	1076
232	325	1072
233	326	1068
234	326	1064
235	327	1060
236	328	1056
237	328	1052
238	329	1048
239	330	1045
240	330	1041
241	331	1038
242	332	1036
243	333	1034
244	334	1030
245	335	1027
246	335	1023
247	336	1020
248	337	1016
249	337	1013
250	338	1009
251	339	1006
252	339	1003
253	340	999
254	341	996
255	341	993
256	342	990
257	343	986
258	343	983
259	344	979
260	344	976
261	345	972
262	346	969
263	346	966
264	347	965
265	348	962
266	349	959
267	350	956
268	350	953
269	351	950
270	352	947
271	352	944
272	353	940
273	353	937
274	354	934
275	355	931
276	355	928
277	356	926
278	357	923
279	357	920
280	358	917
281	359	914
282	360	912
283	360	909
284	361	907
285	362	905
286	363	902
287	364	901
288	365	898
289	365	895
290	366	893
291	367	890
292	367	887
293	368	884
294	368	881
295	369	878
296	369	875
297	370	872
298	371	869
299	371	867
300	372	864
301	372	861
302	373	858
303	373	855
304	374	853
305	374	850
306	375	847
307	376	845
308	377	843
309	377	841
310	378	839
311	379	836
312	380	834
313	380	831
314	381	829
315	382	826
316	382	824
317	383	821
318	383	819
319	384	817
320	385	815
321	386	812
322	386	810
323	387	808
324	388	805
325	388	803
326	389	800
327	389	798
328	390	796
329	391	794
330	392	793
331	393	791
332	393	789
333	394	786
334	395	784
335	395	782
336	396	779
337	396	777
338	397	774
339	397	772
340	398	770
341	399	767
342	399	765
343	400	763
344	400	760
345	401	758
346	401	756
347	402	754
348	403	751
349	403	749
350	404	747
351	404	744
352	405	742
353	406	740
354	407	739
355	408	738
356	408	736
357	409	734
358	410	732
359	410	730
360	411	728
361	411	725
362	412	723
363	413	721
364	413	719
365	414	717
366	414	715
367	415	713
368	415	711
369	416	708
370	416	706
371	417	704
372	418	702
373	418	700
374	419	698
375	419	696
376	420	694
377	421	693
378	422	691
379	423	690
380	423	688
381	424	686
382	425	684
383	425	682
384	426	680
385	426	678
386	427	676
387	427	674
388	428	672
389	428	670
390	429	668
391	430	666
392	430	665
393	431	663
394	431	661
395	432	659
396	432	657
397	433	655
398	433	653
399	434	651
400	435	649
401	435	648
402	436	646
403	437	645
404	438	643
405	438	641
406	439	640
407	439	638
408	440	636
409	440	634
410	441	632
411	442	630
412	442	629
413	443	627
414	443	625
415	444	623
416	444	621
417	445	620
418	445	618
419	446	616
420	447	614
421	447	613
422	448	611
423	448	609
424	449	608
425	449	606
426	450	604
427	451	603
428	452	602
429	453	600
430	454	599
431	454	597
432	455	596
433	455	594
434	456	593
435	457	591
436	457	589
437	458	588
438	459	586
439	459	585
440	460	583
441	461	582
442	461	580
443	462	578
444	462	577
445	463	575
446	464	574
447	464	572
448	465	571
449	466	570
450	467	569
451	468	567
452	468	566
453	469	564
454	470	563
455	470	561
456	471	560
457	472	558
458	472	557
459	473	555
460	474	554
461	474	552
462	475	551
463	476	549
464	476	548
465	477	547
466	478	545
467	478	544
468	479	543
469	480	541
470	481	540
471	482	539
472	483	538
473	483	536
474	484	535
475	485	534
476	485	532
477	486	530
478	486	529
479	487	527
480	487	526
481	488	525
482	489	523
483	489	522
484	490	520
485	491	519
486	491	518
487	492	516
488	493	515
489	493	514
490	494	512
491	495	511
492	496	510
493	497	509
494	498	508
495	498	506
496	499	505
497	500	504
498	500	502
499	501	501
500	502	500
501	502	498
502	503	497
503	504	496
504	504	494
505	505	493
506	506	492
507	506	490
508	507	489
509	508	488
510	508	486
511	509	485
512	510	484
513	510	483
514	511	481
515	512	480
516	513	479
517	513	477
518	514	476
519	514	475
520	515	473
521	516	472
522	516	471
523	517	469
524	517	468
525	518	467
526	519	466
527	519	464
528	520	463
529	521	462
530	521	460
531	522	459
532	522	458
533	523	456
534	524	455
535	524	454
536	525	453
537	526	452
538	527	450
539	527	449
540	528	448
541	529	447
542	529	445
543	530	444
544	531	443
545	531	441
546	532	440
547	532	439
548	533	438
549	534	436
550	534	435
551	535	434
552	536	433
553	536	432
554	537	430
555	537	429
556	538	428
557	539	426
558	539	425
559	540	424
560	541	423
561	542	422
562	542	421
563	543	420
564	544	419
565	544	417
566	545	416
567	545	415
568	546	414
569	547	412
570	548	411
571	548	410
572	549	409
573	550	408
574	550	407
575	551	405
576	552	404
577	552	403
578	553	402
579	554	401
580	555	400
581	556	399
582	557	398
583	557	397
584	558	396
585	559	395
586	560	394
587	560	392
588	561	391
589	561	390
590	562	389
591	563	388
592	564	387
593	564	385
594	565	384
595	565	383
596	566	382
597	567	381
598	567	380
599	568	379
600	569	377
601	570	376
602	571	375
603	571	374
604	572	373
605	573	372
606	573	371
607	574	370
608	575	369
609	575	368
610	576	367
611	577	366
612	578	364
613	578	363
614	579	362
615	580	361
616	580	360
617	581	359
618	581	358
619	582	356
620	583	355
621	583	354
622	584	353
623	585	352
624	586	351
625	587	350
626	587	349
627	588	348
628	590	348
629	591	347
630	592	346
631	593	345
632	594	344
633	595	343
634	595	342
635	596	341
636	597	340
637	597	339
638	598	338
639	599	336
640	600	336
641	601	335
642	602	334
643	602	333
644	603	332
645	604	331
646	605	330
647	606	329
648	607	328
649	607	327
650	608	326
651	608	324
652	609	323
653	610	322
654	610	321
655	611	320
656	612	319
657	612	318
658	613	317
659	613	316
660	614	315
661	615	314
662	616	313
663	617	312
664	618	311
665	618	310
666	619	309
667	620	308
668	620	307
669	621	306
670	622	305
671	622	303
672	623	302
673	623	301
674	624	300
675	625	299
676	625	298
677	626	297
678	627	296
679	627	295
680	628	294
681	629	293
682	630	292
683	631	291
684	631	290
685	632	289
686	633	288
687	634	287
688	634	286
689	635	285
690	636	284
691	636	283
692	637	282
693	638	281
694	638	280
695	639	279
696	639	278
697	640	277
698	641	276
699	641	275
700	642	274
701	643	273
702	643	271
703	645	271
704	646	270
705	647	269
706	647	268
707	648	267
708	649	266
709	649	265
710	650	264
711	650	263
712	651	262
713	652	261
714	652	260
715	653	259
716	653	258
717	654	256
718	654	255
719	655	254
720	655	253
721	656	252
722	656	251
723	657	250
724	658	249
725	658	248
726	659	247
727	660	246
728	664	247
729	665	246
730	666	245
731	667	244
732	668	243
733	669	242
734	670	241
735	671	240
736	672	240
737	673	239
738	677	239
739	678	238
740	679	237
741	680	236
742	681	235
743	681	234
744	682	233
745	683	232
746	684	231
747	685	230
748	686	230
749	687	229
750	688	228
751	689	227
752	690	226
753	692	225
754	693	224
755	702	226
756	705	226
757	708	226
758	711	225
759	714	225
760	718	225
761	719	224
762	723	224
763	725	224
764	726	223
765	727	222
766	728	221
767	728	220
768	729	219
769	731	218
770	732	217
771	733	216
772	734	215
773	735	214
774	737	214
775	738	213
776	739	212
777	740	211
778	741	210
779	741	209
780	742	208
781	742	207
782	743	206
783	744	205
784	745	204
785	746	203
786	746	202
787	747	201
788	748	200
789	749	199
790	750	198
791	756	198
792	757	197
793	758	196
794	759	195
795	760	194
796	761	193
797	761	192
798	762	191
799	763	190
800	764	189
801	764	188
802	765	187
803	766	186
804	768	186
805	769	185
806	770	184
807	770	183
808	771	182
809	772	181
810	773	180
811	774	179
812	775	178
813	776	177
814	777	176
815	778	175
816	779	174
817	779	173
818	780	172
819	782	171
820	783	170
821	784	169
822	785	168
823	786	167
